match_id,时间,赛事,主队,客队,胜概率,平概率,负概率,主进球,客进球,胜赔付,平赔付,负赔付,轮次>10%,记录时间
504235,2026-05-16 10:00:00,美国国家女子联赛,圣地牙哥海浪女足,华盛顿精神女足,33.15%,25.89%,40.96%,1.242,1.402,0.8785,0.8544,0.8191,"1, 2, 3, 4",2026-05-16 11:00:52
504236,2026-05-16 10:00:00,美国国家女子联赛,西雅图王朝女足,葛咸FC女足,19.95%,25.18%,54.87%,0.834,1.561,0.7878,0.8058,0.8999,"1, 2, 3, 4",2026-05-16 11:00:56
504237,2026-05-16 10:00:00,美国国家女子联赛,海湾FC女足,波士顿传承女足,34.51%,26.79%,38.70%,1.219,1.296,0.8456,0.8037,0.8900,"1, 2, 3, 4",2026-05-16 11:01:01
503745,2026-05-16 12:00:00,日本女子职业联赛,仙台迈那比女足,埼玉伊分女足,49.80%,26.58%,23.63%,1.448,0.913,0.9412,0.8371,0.8388,"1, 2, 3, 4",2026-05-16 11:01:06
503746,2026-05-16 12:00:00,日本女子职业联赛,RB大宫松鼠女足,相模原斯特拉女足,55.45%,23.38%,21.17%,1.724,0.983,0.9261,0.8253,0.8806,"1, 2, 3, 4",2026-05-16 11:01:11
503747,2026-05-16 12:00:00,日本女子职业联赛,千叶市原女足,浦和红钻女足,11.71%,17.74%,70.55%,0.796,2.223,0.7849,0.8160,0.9312,"1, 2, 3, 4, 5",2026-05-16 11:01:15
503748,2026-05-16 12:00:00,日本女子职业联赛,东京绿茵女足,新泻天鹅女足,66.12%,20.11%,13.77%,1.997,0.795,0.8926,0.9050,0.8261,"1, 2, 3, 4",2026-05-16 11:01:20
503749,2026-05-16 12:00:00,日本女子职业联赛,大阪樱花女足,长野帕塞罗女足,71.42%,17.64%,10.94%,2.184,0.736,0.9284,0.8204,0.7876,"1, 2, 3, 4, 5",2026-05-16 11:01:25
503750,2026-05-16 12:00:00,日本女子职业联赛,神户雌狮女足,广岛三箭女足,41.79%,25.98%,32.23%,1.405,1.207,0.8441,0.7873,1.0764,"1, 2, 3, 4",2026-05-16 11:01:29
504465,2026-05-16 13:00:00,日本J1百年构想联赛,水户蜀葵,东京绿茵,33.85%,29.56%,36.59%,1.050,1.105,0.9206,0.8425,0.9258,"0, 1, 2, 3, 4",2026-05-16 11:01:34
503725,2026-05-16 13:00:00,日本J2/J3百年构想联赛,枥木市FC,山形山神,42.29%,25.41%,32.30%,1.470,1.264,0.8670,0.8131,0.9980,"1, 2, 3, 4",2026-05-16 11:01:39
503726,2026-05-16 13:00:00,日本J2/J3百年构想联赛,湘南比马,仙台维加泰,34.24%,27.07%,38.69%,1.186,1.281,0.9141,0.8339,0.9092,"1, 2, 3, 4",2026-05-16 11:01:43
503727,2026-05-16 13:00:00,日本J2/J3百年构想联赛,SC相模原,八户云罗里,36.67%,28.18%,35.15%,1.168,1.140,0.8984,0.8258,0.9349,"0, 1, 2, 3, 4",2026-05-16 11:01:48
503728,2026-05-16 13:00:00,日本J2/J3百年构想联赛,福岛联,北海道札幌冈萨多,26.77%,22.38%,50.85%,1.330,1.885,0.8325,0.8124,0.9713,"1, 2, 3, 4, 5",2026-05-16 11:01:53
503731,2026-05-16 13:00:00,日本J2/J3百年构想联赛,新舄天鹅,奈良俱乐部,54.33%,24.83%,20.84%,1.594,0.894,0.9399,0.8245,0.8543,"1, 2, 3, 4",2026-05-16 11:01:58
503732,2026-05-16 13:00:00,日本J2/J3百年构想联赛,鸟栖砂岩,山口雷法,47.07%,26.80%,26.13%,1.404,0.979,0.8944,0.8173,0.9668,"1, 2, 3, 4",2026-05-16 11:02:02
